# ASCII file generated by KVIDGCsI::WriteToAsciiFile
# ID Graph Name : CSI_R_L_0601
# This file can be read using KVIDGCsI::ReadFromAsciiFile
# 
++KVIDGCsI
<VARX> L
<VARY> R
<PARAMETER> Runlist=98000-122093
<PARAMETER> IDTelescopes=CSI_R_L_0601
<PARAMETER> AUTOR=DIEGO_GRUYER
+KVIDCsIRLLine
ID:Z=1 A=1
1	1
24
45.9606   40.9007
60.8629   62.9706
75.6154   82.7859
107.536   119.944
162.59   179.73
173.441   191.55
285.027   310.706
318.497   346.143
332.18   362.343
353.443   384.111
375.124   407.399
386.703   420.055
398.701   432.711
411.123   445.873
419.541   454.986
430.911   468.147
448.172   486.879
470.696   511.685
514.288   558.787
561.202   609.378
586.897   635.526
610.944   662.811
652.199   705.444
4459.37   4885.88
+KVIDCsIRLLine
ID:Z=1 A=2
1	2
33
59.7888   65.8493
72.543   84.7206
85.6999   103.592
101.542   124.062
121.009   149.011
151.611   185.419
181.818   220.283
236.594   282.015
300.406   351.344
352.723   408.158
397.497   457.508
426.589   488.91
460.528   525.272
487.291   554.36
503.583   572.54
531.122   601.96
554.622   626.625
567.616   641.169
581.386   656.044
597.289   673.233
610.089   687.777
624.053   701.991
642.865   723.807
669.29   751.049
708.208   793.487
747.127   836.215
799.555   892.986
834.968   931.873
868.455   968.642
927.846   1033.86
985.822   1096.13
1048.12   1164.56
4802.38   5288.28
+KVIDCsIRLLine
ID:Z=1 A=3
1	3
35
79.8027   102.287
96.853   125.815
109.07   143.228
121.69   160.087
139.713   182.674
163.991   213.701
227.233   288.473
297.069   367.822
327.942   402.918
342.928   419.703
358.214   436.998
374.1   454.801
390.884   473.111
408.269   491.932
424.454   510.243
453.827   541.779
483.799   574.332
511.075   603.833
531.456   625.706
549.439   645.543
570.421   668.941
583.309   683.183
601.293   703.529
620.176   722.857
642.355   747.273
682.219   791.016
720.884   833.742
748.458   863.752
787.423   906.479
859.957   983.793
931.591   1062.46
1008.62   1147.05
1094.62   1241.48
1172.54   1327.05
5305.21   5865.28
+KVIDCsIRLLine
ID:Z=2 A=3
2	3
26
206.393   350.221
225.255   380.101
253.777   423.783
288.757   474.602
323.176   524.136
358.615   573.607
376.502   597.989
394.732   621.687
438.001   681.343
466.953   719.334
485.181   742.916
522.965   792.609
553.537   831.495
569.102   850.712
598.552   889.707
656.507   961.528
712.714   1028.72
763.412   1090.57
817.118   1154.83
882.849   1232.81
943.822   1306.08
1032.66   1412.88
1126.46   1520.4
1223.36   1632.92
1336.73   1761.4
4260.31   5074.64
+KVIDCsIRLLine
ID:Z=2 A=4
2	4
35
45.9615   53.1668
73.4452   114.571
88.9387   149.744
108.151   188.092
131.591   233.237
161.481   289.699
198.304   355.142
247.053   436.674
272.298   474.421
313.214   539.346
331.493   565.015
348.905   592.191
366.315   617.859
403.749   670.704
439.439   722.041
494.284   799.044
517.787   830.751
542.162   862.458
565.666   894.165
590.042   925.874
687.777   1052.52
740.563   1118.92
790.016   1179.04
851.314   1255.72
886.03   1297.84
932.54   1353.46
983.501   1417.51
1034.77   1477.79
1082.99   1537.64
1193.42   1670.67
1322.62   1820.73
1519.27   2046.51
1719.41   2281.13
1902.36   2490.45
4260.31   5188.37
+KVIDCsIRLLine
ID:Z=2 A=6
2	6
25
131.257   250.263
151.356   290.677
204.026   391.712
240.063   454.71
312.833   580.706
358.572   654.402
382.135   690.061
405.006   725.721
452.132   798.228
492.328   856.471
531.138   913.526
571.334   972.958
610.144   1030.01
651.033   1087.06
696.773   1151.25
734.197   1202.36
820.133   1316.47
926.167   1456.73
996.722   1546.39
1046.02   1609.07
1157.82   1751.39
1322.58   1957.15
1502.08   2173.15
1699.71   2406.16
4260.31   5425.06
+KVIDCsIRLLine
ID:Z=4 A=8
4	8
26
217.193   434.504
273.329   542.67
326.693   635.384
372.434   713.834
424.411   799.416
468.765   867.168
489.556   902.828
569.948   1025.26
600.442   1072.81
632.32   1119.16
673.903   1177.4
726.573   1258.24
786.867   1342.62
843.003   1423.46
942.107   1560.15
999.628   1636.22
1057.15   1713.49
1115.37   1790.74
1172.89   1866.81
1230.41   1944.08
1289.32   2020.15
1400.21   2156.84
1590.78   2389.82
1820.87   2669.15
2104.9   3016.74
4260.31   5654.49
+KVIDCsIRLLine
ID:Z=3 A=6
3	6
18
336.821   687.833
374.336   758.681
418.733   842.515
453.434   904.743
511.654   1008.81
553.605   1083.04
606.128   1171.42
651.254   1246.56
694.801   1318.91
753.971   1415.89
830.833   1537.54
893.148   1634.71
1038.3   1853.52
1165.21   2044.84
1284.85   2218.16
1415.85   2404.39
1596.5   2651.71
4218.1   6241.04
+KVIDCsIRLLine
ID:Z=3 A=7
3	7
27
88.4174   170.118
110.853   222.824
126.69   260.941
144.433   302.824
168.481   356.471
200.298   426.882
250.488   533.51
289.495   612.005
333.421   698.738
372.372   775.015
420.498   865.206
465.839   948.21
502.267   1015.59
539.066   1083.09
582.065   1159.86
635.075   1252.84
668.239   1308.3
725.872   1408.32
815.752   1555.42
866.523   1635.43
967.38   1796.65
1078.53   1967.28
1205.46   2156.73
1295.14   2293.25
1400.87   2447.83
1572.97   2694.57
4218.1   6486.85
+KVIDCsIRLLine
ID:Z=3 A=8
3	8
11
602.815   1219.82
660.238   1323
695.401   1384.92
785.141   1540.1
899.987   1726.12
1009.61   1899.83
1196.89   2192.31
1338.21   2408.11
1450.59   2576.93
1584.62   2775.96
4218.1   6686.75
+KVIDCsIRLLine
ID:Z=4 A=7
4	7
16
339.198   740.346
411.043   885.239
486.843   1035.79
550.119   1160.3
603.508   1264.45
725.838   1497.37
846.603   1717.18
948.643   1901.77
1055.77   2088.31
1143.96   2240.54
1222.44   2375.7
1318.3   2535.79
1433.83   2724.51
1532.21   2879.99
1675.76   3106.88
4260.31   7191.97
+KVIDCsIRLLine
ID:Z=4 A=9
4	9
17
545.526   1188.46
614.929   1330
670.495   1441.89
732.77   1561.47
781.609   1654.78
827.155   1741.38
906.352   1889.58
966.791   2002.26
1018.27   2093.25
1108.43   2256.82
1178.19   2380.8
1241.29   2492.93
1340.93   2667.63
1439.66   2836.8
1569.99   3050.38
1718.95   3289.45
4176.09   7480.35
+KVIDCsIRLLine
ID:Z=4 A=10
4	10
19
547.942   1212.05
611.415   1346.79
664.725   1451.34
711.694   1544.73
764.206   1647.04
804.382   1724.87
855.983   1825.77
897.725   1904.45
947.68   1999.91
1018.27   2129.65
1093.8   2268.76
1156.89   2382.8
1233.34   2521.38
1297.07   2638.66
1370.91   2772.44
1433.39   2880.23
1535.83   3055.02
1725.49   3368.36
4176.31   7634.41
+KVIDCsIRLLine
ID:Z=5 A=11
5	11
6
973.938   2116.83
1212.54   2579.81
1361.56   2872.39
1468.51   3073.51
1591.79   3308.41
4260.31   8392.72
+KVIDCutLine
OK:IMF_line
below
8
548.343   1235.58
787.417   1764.41
872.666   1943.7
952.518   2111.65
1232.32   2672.63
1551.34   3309.93
1843.99   3948.37
4438.97   9622.96
+KVIDCutLine
OK:gamma_line
above
12
35.1504   24.9867
48.4978   40.7395
64.4382   59.399
93.4398   94.2918
163.977   169.489
219.706   226.464
316.317   329.34
383.491   402.168
436.398   458.168
487.882   514.691
671.136   711.953
4416.55   4766.25
!
# ASCII file generated by KVIDGCsI::WriteToAsciiFile
# ID Graph Name : CSI_R_L_0602
# This file can be read using KVIDGCsI::ReadFromAsciiFile
# 
++KVIDGCsI
<VARX> L
<VARY> R
<PARAMETER> Runlist=98000-122093
<PARAMETER> IDTelescopes=CSI_R_L_0602
<PARAMETER> AUTOR=DIEGO_GRUYER
+KVIDCsIRLLine
ID:Z=1 A=1
1	1
33
37.52   31.469
44.3447   40.2588
58.4502   56.3542
77.1481   75.9436
98.4046   96.3787
125.386   121.816
178.133   170.719
212.07   202.125
255.999   242.435
292.449   276.685
336.219   317.451
369.529   347.304
400.384   375.266
418.521   393.43
434.125   410.35
442.728   419.304
460.503   436.827
494.335   469.588
557.445   531.276
569.942   544.509
583.448   557.534
632.739   609.069
704.572   677.818
778.47   750.577
797.426   768.435
851.673   823.5
889.06   859.048
907.759   876.323
942.526   914.024
979.303   950.069
1051.55   1025.24
1124.73   1099.42
4274.69   4292.49
+KVIDCsIRLLine
ID:Z=1 A=2
1	2
33
58.5763   62.4142
75.3046   81.9792
95.2707   103.254
114.967   123.578
139.36   148.452
156.582   165.082
183.626   191.107
217.579   222.435
230.316   234.092
255.178   258.07
366.591   363.965
404.449   399.187
443.259   434.409
455.994   446.15
494.541   482.247
510.109   497.237
530.525   516.393
545.433   530.265
562.073   547.873
575.216   560.43
593.616   579.874
