# ASCII file generated by KVIDGCsI::WriteToAsciiFile
# ID Graph Name : CSI_R_L_0601
# This file can be read using KVIDGCsI::ReadFromAsciiFile
# 
++KVIDGCsI
<VARX> L
<VARY> R
<PARAMETER> Runlist=83000-97015 123000-127081
<PARAMETER> IDTelescopes=CSI_R_L_0601
<PARAMETER> AUTOR=DIEGO_GRUYER
+KVIDCsIRLLine
ID:Z=1 A=1
1	1
24
45.773   40.5862
60.3787   62.2169
74.8376   81.6379
106.123   118.057
160.081   176.653
170.716   188.238
280.082   305.022
312.886   339.754
326.297   355.632
347.136   376.967
368.386   399.791
379.735   412.195
391.494   424.599
403.669   437.5
411.919   446.431
423.063   459.33
439.98   477.69
462.056   502.002
504.781   548.167
550.761   597.751
575.945   623.378
599.513   650.12
639.947   691.905
4371.36   4789.15
+KVIDCsIRLLine
ID:Z=1 A=2
1	2
33
59.326   65.0383
71.8264   83.5341
84.7214   102.03
100.248   122.093
119.328   146.545
149.321   182.229
178.927   216.399
232.613   276.902
295.155   344.852
346.431   400.535
390.314   448.903
418.827   479.68
452.09   515.318
478.321   543.828
494.289   561.646
521.28   590.48
544.312   614.655
557.047   628.909
570.543   643.488
586.13   660.335
598.675   674.59
612.361   688.521
630.799   709.903
656.698   736.603
694.842   778.196
732.986   820.074
784.371   875.715
819.079   913.828
851.9   949.865
910.109   1013.79
966.931   1074.82
1027.99   1141.88
4707.54   5183.54
+KVIDCsIRLLine
ID:Z=1 A=3
1	3
35
78.9416   100.751
95.6526   123.811
107.626   140.877
119.995   157.401
137.66   179.538
161.455   209.948
223.438   283.232
291.884   361.002
322.143   395.399
336.831   411.85
351.813   428.801
367.382   446.25
383.832   464.195
400.871   482.642
416.734   500.589
445.523   531.497
474.898   563.402
501.632   592.316
521.607   613.754
539.232   633.196
559.797   656.128
572.428   670.087
590.054   690.028
608.561   708.972
630.299   732.902
669.37   775.774
707.265   817.65
734.291   847.063
772.48   888.939
843.571   964.715
913.779   1041.82
989.275   1124.72
1073.56   1217.27
1149.93   1301.14
5200.36   5749.06
+KVIDCsIRLLine
ID:Z=2 A=3
2	3
26
203.013   343.751
221.499   373.036
249.454   415.849
283.738   465.657
317.472   514.205
352.206   562.692
369.737   586.588
387.604   609.815
430.012   668.284
458.388   705.519
476.253   728.631
513.285   777.335
543.249   815.448
558.504   834.282
587.368   872.501
644.169   942.893
699.258   1008.75
748.947   1069.37
801.584   1132.35
866.007   1208.78
925.767   1280.59
1012.84   1385.26
1104.77   1490.64
1199.74   1600.92
1310.86   1726.85
4176.26   4974.15
+KVIDCsIRLLine
ID:Z=2 A=4
2	4
35
45.7738   52.6082
72.7106   112.79
87.8958   147.263
106.726   184.848
129.699   229.095
158.995   284.433
195.085   348.574
242.864   428.484
267.606   465.479
307.708   529.112
325.623   554.271
342.689   580.906
359.752   606.063
396.441   657.856
431.421   708.172
485.175   783.642
508.21   814.718
532.1   845.794
555.136   876.871
579.027   907.949
674.817   1032.07
726.553   1097.15
775.022   1156.08
835.1   1231.23
869.125   1272.51
914.709   1327.03
964.656   1389.8
1014.91   1448.88
1062.17   1507.54
1170.4   1637.92
1297.03   1785
1489.76   2006.28
1685.92   2236.23
1865.23   2441.39
4176.26   5085.62
+KVIDCsIRLLine
ID:Z=2 A=6
2	6
26
127.524   241.391
146.831   280.212
197.426   377.266
232.043   437.781
301.946   558.813
345.882   629.605
368.517   663.859
390.487   698.114
435.756   767.763
474.368   823.711
511.649   878.518
550.261   935.608
587.541   990.412
626.819   1045.21
670.757   1106.88
706.706   1155.97
789.256   1265.58
891.112   1400.32
958.887   1486.44
1006.24   1546.66
1113.64   1683.37
1271.9   1881.02
1444.33   2088.51
1634.17   2312.34
4093.88   5212.28
4096   5214.78
+KVIDCsIRLLine
ID:Z=4 A=8
4	8
27
210.074   418.372
263.998   522.276
315.259   611.336
359.198   686.695
409.127   768.905
451.733   833.987
471.705   868.242
548.929   985.85
578.222   1031.53
608.844   1076.05
648.788   1131.99
699.383   1209.65
757.301   1290.7
811.225   1368.36
906.424   1499.66
961.678   1572.74
1016.93   1646.96
1072.86   1721.17
1128.11   1794.24
1183.37   1868.46
1239.96   1941.54
1346.48   2072.84
1529.54   2296.64
1750.56   2564.96
2023.4   2898.86
4093.88   5432.67
4096   5435.26
+KVIDCsIRLLine
ID:Z=3 A=6
3	6
21
243.528   504.485
276.338   571.456
310.162   639.397
337.221   687.603
370.858   751.127
414.797   834.098
449.141   895.685
506.762   998.681
548.281   1072.15
600.263   1159.62
644.924   1233.98
688.023   1305.59
746.584   1401.57
822.654   1521.97
884.327   1618.14
1027.98   1834.69
1153.59   2024.04
1272   2195.58
1401.65   2379.89
1580.44   2624.66
4175.04   6177.03
+KVIDCsIRLLine
ID:Z=3 A=7
3	7
27
87.8831   168.625
110.088   220.788
125.762   258.513
143.322   299.964
167.122   353.059
198.612   422.745
248.285   528.275
286.89   605.962
330.364   691.802
368.914   767.293
416.544   856.555
461.418   938.705
497.471   1005.39
533.891   1072.2
576.448   1148.18
628.912   1240.2
661.734   1295.09
718.774   1394.08
807.728   1539.66
857.977   1618.85
957.795   1778.41
1067.8   1947.28
1193.42   2134.78
1282.18   2269.89
1386.82   2422.88
1557.15   2667.08
4175.04   6420.31
+KVIDCsIRLLine
ID:Z=3 A=8
3	8
11
596.984   1207.52
653.816   1309.64
688.617   1370.92
777.433   1524.5
873.806   1687.07
1005.42   1895.76
1171.19   2154.02
1295.64   2347.1
1445.02   2575.23
1623.55   2840.2
4175.04   6618.16
+KVIDCsIRLLine
ID:Z=4 A=7
4	7
16
336.081   732.981
407.187   876.382
482.206   1025.38
544.831   1148.61
597.67   1251.69
718.74   1482.21
838.262   1699.76
939.251   1882.45
1045.27   2067.07
1132.56   2217.73
1210.23   2351.5
1305.1   2509.94
1419.44   2696.71
1516.81   2850.59
1658.88   3075.15
4216.82   7118.17
+KVIDCsIRLLine
ID:Z=4 A=9
4	9
17
540.285   1176.48
608.973   1316.56
663.967   1427.3
725.601   1545.65
773.937   1638
819.014   1723.71
897.395   1870.38
957.212   1981.9
1008.16   2071.95
1097.39   2233.84
1166.43   2356.54
1228.88   2467.52
1327.5   2640.42
1425.21   2807.85
1554.2   3019.23
1701.63   3255.84
4133.47   7403.58
+KVIDCsIRLLine
ID:Z=4 A=10
4	10
19
542.676   1199.83
605.495   1333.18
658.257   1436.65
704.742   1529.08
756.713   1630.34
796.475   1707.37
847.545   1807.23
888.857   1885.1
938.298   1979.58
1008.16   2107.98
1082.91   2245.66
1145.35   2358.52
1221.02   2495.68
1284.09   2611.75
1357.17   2744.15
1419.01   2850.83
1520.39   3023.82
1708.1   3333.93
4133.68   7556.06
+KVIDCsIRLLine
ID:Z=5 A=11
5	11
7
878.989   1922.86
976.21   2118.43
1200.43   2553.5
1347.92   2843.07
1453.76   3042.12
1575.78   3274.6
4216.82   8306.56
+KVIDCutLine
OK:IMF_line
below
7
771.946   1730.22
864.056   1923.94
943.086   2090.16
1220.01   2645.37
1535.74   3276.11
1825.38   3907.97
4393.64   9524.13
+KVIDCutLine
OK:gamma_line
above
12
35.1779   24.9889
48.2597   40.4282
63.8829   58.7164
92.3073   92.9148
161.441   166.616
216.061   222.457
310.749   323.286
376.587   394.664
428.441   449.55
478.9   504.948
658.507   698.285
4329.39   4671.9
!
# ASCII file generated by KVIDGCsI::WriteToAsciiFile
# ID Graph Name : CSI_R_L_0602
# This file can be read using KVIDGCsI::ReadFromAsciiFile
# 
++KVIDGCsI
<VARX> L
<VARY> R
<PARAMETER> Runlist=83000-97015 123000-127081
<PARAMETER> IDTelescopes=CSI_R_L_0602
<PARAMETER> AUTOR=DIEGO_GRUYER
+KVIDCsIRLLine
ID:Z=1 A=1
1	1
33
37.4   31.2157
44.0889   39.8306
57.9137   55.6057
76.2395   74.8052
97.073   94.8337
123.517   119.765
175.215   167.695
208.476   198.476
251.531   237.983
287.256   271.552
330.155   311.507
362.802   340.766
393.043   368.171
410.819   385.974
426.113   402.557
434.544   411.333
451.966   428.507
485.124   460.616
546.979   521.077
559.227   534.046
572.464   546.812
620.774   597.321
691.178   664.702
763.605   736.013
782.184   753.516
835.351   807.485
871.994   842.326
890.321   859.257
924.396   896.208
960.442   931.536
1031.25   1005.21
1102.97   1077.91
4190.25   4207.44
+KVIDCsIRLLine
ID:Z=1 A=2
1	2
33
58.0373   61.5451
74.4327   80.7207
94.0015   101.572
113.306   121.492
137.213   145.871
154.093   162.17
180.599   187.677
213.876   218.381
226.359   229.806
250.727   253.307
359.923   357.095
397.027   391.616
435.065   426.137
447.546   437.645
485.326   473.023
